,caption
29,"This weekend each product sold will help fund the recovery and recycling of 1kg of Ocean-bound plastic with Plastic Bank. 

The less single use plastic in the world = a lot less plastic dumped in the ocean. 

No code needed. Automatically calculated after checkout. 

Looking great whilst looking after the planet ğŸŒ 

Link in Bio â™»ï¸

MANYMOODS.CO.UK

#slowfashionbrand #sustainablefashion #organic #plasticfree #plasticfreeoceans #plasticfreeliving #plasticfreeforthesea #plasticfreelife #plasticfreepackaging #oceanbound #oceancleanup #plasticbank #plasticbankpartner #zeroplastic #zeroplasticwaste #oceanlife #oceanlover #tshirts #hoodies #jumpers #sweaters #vesttop #artprints #totebags #jigsawpuzzles #manymoods"
30,"Did you know the Dune x 4ocean recovered over 16,000 lbs of ocean plastic?! ğŸ¥³â™»ï¸â™»

You can help the 4ocean team pull more plastic by personalizing your Dune with 4ocean-certified recovered ocean plastic or by shopping our exclusive collection!ğŸŒŠ

link in bioâœ¨"
31,"Big waves & Thick trash 
Hey ocean lovers! These storms are rad, and thereâ€™s so many waves to catch. Please consider picking up trash for just 15 minutes after surfing. I collected 15 pounds of trash that quickly. Lower tides are best. Letâ€™s catch this crap before it all goes back into the ocean. 

On that note, how about these corporations making millions every quarter be responsible for their garbage reclamation?!? France is leading the way. Letâ€™s move U.S.! How about it @payday_bar @kiehls @plackersdental @gatorade @7eleven @crystalgeysersparkling ??? (Pictured here making micro plastics for my beach) 

Iâ€™ve felt super guilty all my life about the garbage I throw out. Out into nature? How about back to the factory. We demand systems that serve nature and the ocean. Not the deep pockets of the few."
32,"Together weâ€™ve removed close to 6000 lbs of plastic from the ocean in a little more than a year! We intend to X3 that number in 2023! Stay tuned a keep supporting us and our mission! 

#seethroughbs 

#oceanpositive #sustainability #sustainablefashion #ecofriendly #ecofriendlyproducts #oceanconservation #oceancleanup #mission"
33,"Beach Clean Up - Clean Up No. 52
Location: Pantai Pelindung
Date:Â  7.1.2023 

Types of trash collected: 
â€¢ Single-use plastic cups, bottles, straws
â€¢ Food wrappers
â€¢ Glass bottles
â€¢ Polystyrene
â€¢ Cigarette boxes
â€¢ Used diapers 
â€¢ Face masks

Bags of trash collected : 12 sacks
Weight of trash : Approximately 72 kg 

Number of heroes : 28
â€¢ 7 adults 
â€¢ 21 kids 

Sponsor : Jue Ahmad & family ğŸ’›
Thank you for the used sacks.Â These were reused for trash collection today and were super sturdy.

Today was our first clean up for the new year. We were joined by many new volunteers : children and staff from Pusat Jagaan Cahaya who live in the Pelindung area. It was heartening to see the enthusiastic young girls happily cleaning the beach inspite of their difficult background. We had some regular volunteers join in too which is always a pleasure! ğŸ’› 

If you would like to volunteer at our next clean up, look out for updates on our IG or FB page. If you would like to sponsor used bags/sacks, pickers or tshirts for our volunteers (or anything else which may aid our clean ups), do drop us a message. Thank you ğŸ™ 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #savetheenvironment #reuse #sacks #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #climatechange #climateaction #zerowaste #pantaitimur #kuantan #pelindungbeach #pantaipelindung #sutravilla #trashherokuantan #trashheromalaysia #trashheroworld #trashhero"
34,"Ocean Blue Opal Ring! 

6mm wide with an inlay of ocean Blue opals.

For every ring sold in January, we will make a donation to remove 5lbs of trash from the ocean! 

GoodRings, Rings That Do Good!

#smallbusiness #oceancleanup #blueopals #opalring #weddingringforher #GoodRings"
35,"Our first goal, with your support, is to remove and recycle 10,000,000 pounds of water waste to help keep the oceans clean and healthy for future generations.â€‹â€‹â€‹â€‹â€‹â€‹â€‹â€‹
â€‹â€‹â€‹â€‹â€‹â€‹â€‹â€‹
A single bracelet makes the difference. Link in bio. â€‹â€‹â€‹â€‹â€‹â€‹â€‹â€‹
â€‹â€‹â€‹â€‹â€‹â€‹â€‹â€‹
#handmadebracelets #virtumade #terracycle #terracycleglobalfoundation #bracelet #bracelets #handmadebracelet #sustainable #sustainablejewelry #ecologic #sustainability #sustainableaccessories #ecofriendly #sustainableliving #environment #zerowaste #sustainablefashion #oceancleanup #recycle #artisanmade #artisan #beachliving #beachlifestyle #beachlife"
36,"2022 was an incredible year and despite severe floods in KZN and another year impacted by COVID not only can we say we made it, but we also managed to achieve alot to be proud of. 

Our final newsletter of 2022 covered our highlights for last year one of which was the Umhlanga River blockage in January. 

After the storms and heavy rains earlier in January, we took to social media to show the extent of damage in the Umhlanga River where we quickly deployed a team of 20 staff. 

To paint a picture, the plastic â€˜blockageâ€™ was approximately 3 meters deep and 70m upstream, which resulted in hundreds of thousands of kgs of plastic pollution.

What followed was a spectacular show of teamwork, with many organisations and individuals from around the world rallying together to remedy this bad situation!

A significant R200 000 was raised and allowed us to expand our team to 20 and deploy a TLB, as well as tractors and trailers (thanks to local farmer Rob West).

It was a tremendous feat due to our communities support and belief we were able to tackle this environmental disaster and cleared a massive 150 000kgs of waste. 

WATCH:  https://youtu.be/SsSRqxBT310
.
.
â€¢â€‹â€‹â€‹â€‹â€‹â€‹â€‹â€‹
â€¢â€‹â€‹â€‹â€‹â€‹â€‹â€‹â€‹
#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #RiverPollution #RiverConservation #Pollution #StopPollution #PlasticPollution #EndPlasticPollution #StopPlasticPollution #Recycle #Litter #CleanUp #GreenFuture #ConsciousLiving #Environment #SaveOurPlanet #PlasticBottle #Plastics #PlasticFreeLiving #PlasticWaste #PlasticOcean"
37,"A hodgepodge of mini cleanups todayâ€¦ First stop, Humarock Beach parking lot, mostly doggy doodoo bags dropped by dodos. 

Next, the rear of the former Bank of America building on Front Street; the slow decay has accelerated and the graffiti artists are tagging it â€” This needs to be cleaned up. We removed the broken glass from the scene but this mess requires professional help. The deteriorating building is situated on the estuary which forms where Satuit Brook meets the Atlantic Ocean.

Last stop: Greenbush... We tidied up the path between New Driftway and Ford Place. Many nips, some fast food service, and more graffiti, this time a giant black and red caterpillar. The black body looks to be covering up writing. I think a coat of paint colored to match the wall is needed to discourage further artful contributions. The graffiti is a disturbing trend, keeping in mind the Broken Windows Theory which states that when low level crimes like vandalism are ignored, higher level and more serious crimes begin to occur.

Todayâ€™s total weight: 4.5 pounds
Number of nip bottles collected: 11

#scituatetrashed #humarockbeach #scituateharbor #satuitbrook #estuary #tidalestuary #greenbush #endnips #bannips #scituate #scituatema #scituategraffiti #cleanup #oceancleanup #conservation #oceanconservation #lovewhereyoulive #protectwhatyoulove #bethechange"
38,"In December, a team of staff and guests removed 376 kg of plastic debris from the beaches of St Francois Island! ğŸ’ªğŸ¼

Unfortunately, this represents only a year of debris accumulation on only half the island which gives insight to just how much plastic pollution affects these remote oceanic atolls. 

A massive well done to:
@ics_seychelles
@bluesafariseychelles
@alphonsefishingco

Encouraging you to get involved with beach and river clean-ups in your area this year as well as be conscious about your consumption so we can tackle the #plasticplague together!

#marineconservation #plasticparadise #seychelles #outerislands #getinvolved #beachclean #cleanupyourneighbourhood #rivercleanup #oceanproject #oceancleanup #plasticpollution #marinedebris"
39,"Museum Beach was the focus of our efforts today. The storm surge swept in loads of marine debris: nylon rope, styrofoam bits, bottle caps, the omnipresent alcohol containers, and our cute new friend, a Barbie Chelsea Color Reveal doll! She lost her hairpiece, her skirt, and her shoes in the storm, but she loves her new shovel. 

In addition to the debris that surged in, Museum Beach has a serious problem with doggie doodoo bags. I hate to use a cutesy name for this disgusting item that dog owners seem compelled to toss in any direction in this town. One true nut job in the Museum Beach area has a penchant for flinging their doggie doodoo bags *at* the dumpster belonging to Scituate Yacht Club. They donâ€™t even bother to throw the bags into the dumpster, they pile them up beside it. Then let us note the numerous piles of doggie doodoo that are left on the beach outside of bags. 

The debris that we cleaned up today weighed 11 pounds. We also moved an orange kayak that some selfish and uncaring soul had left overturned on the beachgrass. The lack of couth is bewildering.

#scituatetrashed #scituateharbor #museumbeach #scituate #scituatema #cleanup #oceancleanup #conservation #oceanconservation #lovewhereyoulive #protectwhatyoulove #bethechange"
40,"Happy New Year everyone!  What's the best way to start the year?  Helping our oceans of course and even if it was a 130 mile round trip after night shift, I wasn't going to miss this meet-up organised by @seashepherduk for anything.  32 kgs of rubbish cleared, kids left inspired to do it all again and my energies were well and truly revived to keep doing what I love â¤ï¸. Wishing you all the best 2023 and that it brings you everything you wish for #oceancleanup #oceanclean #oceanlife #oceanconservation #bournemouthbeach #keepbournemouthtidy #cleanoceans"
41,"Happy New Year everyone!  What's the best way to start the year?  Helping our oceans of course and even if it was a 130 mile round trip after night shift, I wasn't going to miss this meet-up organised by @seashepherduk for anything.  32 kgs of rubbish cleared, kids left inspired to do it all again and my energies were well and truly revived to keep doing what I love â¤ï¸. Wishing you all the best 2023 and that it brings you everything you wish for #oceancleanup #oceanclean #oceanlife #oceanconservation #bournemouthbeach #keepbournemouthtidy #"
42,"Seabin Project is an inspiring company dedicated to providing practical and tangible solutions to reduce the plastics in our oceans.ğŸŒŠğŸŒğŸ’š
 
There are currently 860 Seabins in Marinaâ€™s worldwide, that work to filter debris, trash, oil and microfibres out of the oceans through 100% recyclable mesh bags.â™»ï¸
 
Seabins or â€œTrash skimmersâ€ catch approximately 3612.8 kgs of trash each day!ğŸ¤©
 
Each Seabin has the capacity to catch per year,
- 90 000 Plastic bags,
- 35 700 Disposable cups,
- 16 500 Plastic bottles,
- 166 500 Plastic utensils.
 
While this is a fantastic project, it is still up to us to choose biodegradable, choose nontoxic, choose reusable - GO GREEN!ğŸŒ±â™»ï¸ğŸ’š

#seabin #seabinproject #plasticpollution #marinelife #marineconservation #oceancleanup #reducewaste #saveourseas #clearocean #thegreenstewardess #stopplasticpollution #ecocrew #ecofriendlyproducts #sustainableliving #greensolutions #plasticfree #ecofriendlyyachting"
43,"As we reach the end of the year, here is a recap on some of 2022â€™s most important ocean optimism ğŸ˜Š

NEGOTIATIONS BEGIN FOR AN INTERNATIONAL TREATY TO CURB PLASTIC POLLUTION â™»ï¸
In March 2022 the  United Nations began negotiations on an international treaty to curb plastic pollution, these should conclude in 2023.

54 NEW SPECIES OF SHARKS GIVEN LEGAL PROTECTIONSğŸ¦ˆ
CoP19 resulted in expansion of protection for around 90% of shark and ray species. 

DEEP SEA MINING HALTED ğŸŒŠâ›ï¸
Multiple nations spoke out, halting the further development of the deep sea mining industry

THE GREEN SHIPPING INITIATIVE WAS LAUNCHED 
In November The Green shipping challenge launched. Detailing the decarbonisation of an industry responsible for 3% of global emissions.

Finally, some milestones that have increased since we last reported them in these posts!

OVER 2M kg OF PLASTIC REMOVED FROM THE GREAT PACIFIC GARBAGE PATCH ğŸ—‘ï¸ğŸŒŠ
As of today, the ocean cleanup project has removed 193,826 kg of plastic from the Great Pacific garbage patch. 

OVER 190 COUNTRIES HAVE PLEDGED THE 30X30 INITIATIVE â›°ï¸ğŸŒŠ
While the number of countries which have pledged to protect 30% of their land and oceans by 2030 is up to 112.

Whilst a lot has been done to help our oceans this year, we still have a long way to go. Join us as we fight for our planet, and tell the stories that bring us ocean optimism in the coming year! ğŸŒğŸŒŠğŸ’ªğŸ»"
44,"GAIA Insights is a proud supporter of @theoceancleanup. A portion of our 2022 annual donations have once again been given to this wonderful organization that's working tirelessly to rid the oceans from plastic. 

After 61 extractions and 194,092 kg of plastic out of the ocean, their System 002 is going on winter break. 2022 in numbers:

- 8 trips into the Great Pacific Garbage Patch on cleaning operations
- Over 150 days at sea (including transit)
- 153,000 kg of plastic removed from the Great Pacific Garbage Patch
- 4 consecutive trips with catch totals over 25,000 kg
- 99.9% of catch comprising only plastic

""As we enter winter, it is time to bring our system back to port for scheduled evaluation and upgrades as part of the ongoing transition to the larger and more efficient System 03. We are scheduled to head back out to restart cleaning the Great Pacific Garbage Patch in March 2023.""

Find our post on LinkedIn or Facebook to read The Ocean Cleanup's latest update and why it's worth our support: https://theoceancleanup.com/updates/system-002-signs-off-for-2022-redeployment-in-spring-2023/

#gaiainsights #oceancleanup #oceanconservation #plasticfreeoceans #regenerativeleadership #planet #inthistogether"
45,"Wow! Amazing work from @theoceancleanup

On this cleanup, they extracted 10,755 kg of trash from the ocean! 

Incredible!

#oceancleanup #cleansea #plasticfree #sealife #clearwaters #coast #ocean"
46,"Wow! Amazing work from @theoceancleanup

On this cleanup, they extracted 10,755 kg of trash from the ocean! 

Incredible!

#oceancleanup #cleansea #plasticfree #sealife #clearwaters #coast #ocean"
47,"Wow! Amazing work from @theoceancleanup

On this cleanup, they extracted 10,755 kg of trash from the ocean! 

Incredible!

#oceancleanup #cleansea #plasticfree #sealife #clearwaters #coast #ocean"
48,"16,040kg's of litter removed from the Ohlanga Estuary! ğŸ™ŒğŸ’ª

""The cleanup has been a monumental effort from our team on the ground. They have worked tirelessly in challenging and ever changing conditions and their commitment to cleaning as much waste as possible from that estuary and surrounding coastline has been impressive. 

We have formed a great relationship with the eThekwini Parks Department and this project would not have been possible without having them at our side. They committed themselves 100% and have not let us down one bit and we look forward to future collaborations with their department. 

As we round off our 1-month strike clean of the estuary we will look to see what measures we can take to further our impact there and continue protecting that important ecosystem.' - Josh Redman, Operations Manager, The Litterboom Project

#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #RiverPollution #RiverConservation #Pollution #StopPollution #PlasticPollution #EndPlasticPollution #StopPlasticPollution #Recycle #Litter #CleanUp #GreenFuture #ConsciousLiving #Environment #SaveOurPlanet #PlasticBottle #Plastics #PlasticFreeLiving #PlasticWaste #PlasticOcean"
49,First time dealing with a rain event and they stopped 35000 lbs of waste from entering the ocean near LA. This group has also been tackling the great pacific garbage patch and kicking ass.  They need support even if it's just cheering them on.  #oceancleanup #support
50,"Much of the plastic waste that enters our oceans is picked up by circulating ocean currents known as gyres. Waste from the US  and Japan gets sucked into the Great Garbage Patch, an area of the Pacific between the US and Japan. The â€˜Patchâ€™ covers some 1.6 million square kilometers and contains around 100 million kilograms of plastic.

@TheOceanCleanup is a non-profit organization that wants to remove 90% of the Patchâ€™s floating plastic by 2040. Its net-based System 002 has already removed more than 100,000kg of plastic from the patch. Now, the organization is working on System 003 and based on a recently-released concept video, it looks pretty awesome.

System 003 will use drones to identify waste hotspots and direct the three-ship net system to the location. Two ships will tow a massive 1,600-meter wide and four-meter deep screening system between them. The screening system funnels plastic waste into a central net. When full, the team empty the net onto a third boat, where the plastic is sorted and stored in onboard shipping containers for subsequent recycling. The slow towing speed of the system (0.75m/s) should allow most marine life to avoid being caught up (though I do wonder what will happen to jellyfish).

The Ocean Cleanup plans to create a fleet of ten System 003 machines in the coming months. You can follow their progress on Twitter and Instagram.

ğŸ”„: @utuearth via @oneplanetshop.de
#plasticpollutes #refuseplastic #plasticpollution #plasticfree #climatecrisis #sustainability #climatechange #reducewaste #breakfreefromplastic #beatplasticpollution #oceancleanup #oceanplastic"
51,"Week 75, we collected 240 kgs of marine debris.
Making a difference one day at a time.

Thankyou @samvedana.nmims and @socialoutreachunitupg for joining us.

NGO Partner: @eksaathfoundation 

@my_bmc @swachh_survekshan 

#cartercleanup #cartercleanupdrive #carterbeachcleanup #beachcleanup #mumbaibeachcleanup #mumbaibeaches #cleanbeaches #savethenvironment #savetheplanet #greenearth #greenplanet #savemarinelife #natureisprecious #teamwork #oneearth #beatplasticpollution #cleanseas #oceancleanup #bandra #bandrabuzz"
52,"Ocean cleanup with Sydney by Kayak!!! @sydney_by_kayak 
It started as fun but mannnn the things people throw in the ocean ğŸ˜«
10kgs of rubbish collected in an hour!
...........
..........
.........
........
.......
......
.....
....
...
..
.
#sydneybykayak #sydney_by_kayak #oceancleanup #ocean #volunteer #volunteering #sydney #sydneyoperahouse #sydneyocean #harbour #sydbeyharbour #vto #salesforce #pride #gay #gayboy #sydneydiaries #traveldiaries #kayak #kayaking #cleaning #blue #summer #lunapark #waves #activity #instalike #instalikes #instagood #instagay"
53,"#latergram #worldcleanupday

On #worldcleanupday2022 we were engaged by @dhlexpresspakistan and @hapaglloydag to clean up a portion of #turtlebeach.

A HUGE thank you to @rlccpk for providing upcycled block printed bags made out of newspaper! And also to CEO RLCC Somayeh Bardai for giving a talk on waste management while @ahshabbar was way.

Together, we ended up picking up 714 kg of waste. Out of which 250 kg was #plastic, 22 kg was #paper, 18 kg was tetrapak, 26 kg was #glass, 53 kg was #cloth and a whopping (yet not surprising) 66 kg was #shoes (Yes. Shoes. 545 pieces to be exact!) with the rest being landfill trash.

We need to keep in mind that beaches across #Pakistan are some of the dirtiest in the world. So, we want to thank HL, and DHL deeply for their efforts to clean up!
.
.
.
#trash #beach #coast #ocean #sea #oceancleanup #karachi #savetheturtles #turtlebeach #Saynotoplastic #seaview #nature #ClimateChange #sustainable #lifestyle #dhl #waste #effort #cleanup #cleanupchallenge
.
.
.
@worldcleanupday.global @oceancleanup.project @greenpeace @the.environmental"
54,"For the rest of the year, we will be reminiscing on some of PBCâ€™s accomplishments throughout 2022, up next is California Coastal Cleanup Day, which happened on September 17th this year. 

Thank you to everyone who joined an organized cleanup, did their own cleanup, restored a native habitat, supported, or attended our 25th anniversary of the California Coastal Cleanup Day! 

Our results in these photos, but statewide, more than 27,000 volunteers helped in the effort. (With 60 percent of cleanup sites reporting, the count stands at 27,185 volunteers.) Those volunteers picked up 220,861 pounds of trash and an additional 29,702 pounds of recyclable materials â€” for a total of 250,563 pounds or 125 tons. Impressive!

See you next September for the next CCCD, but remember any day can be a cleanup day here in California, or anywhere! 

Read about our other â€˜22 achievements via the '22 Year in Review' tab in our bio. 

Photos by Dave Rauenbueler
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
55,"On the 7th Day of Christmas, my true love sent to me - 7 swans swimming, or for our gift giving guide recycled swim wear, and a wooden toy swan car.

united by blue is an organization focused on both cleaning up the environment while reusing waste and recyclables. As a certified B Corporation and Climate Neutral Certified, they remove 1lb of trash removed for every product sold - with over 4 million pounds reclaimed so far - while organizing high yielding community cleanup events. They offer men's swim trunks with 100% recycled polyester, bikini bottoms having 88% recycled material, hats made from 100% organic cotton, and many more. This company is approaching sustainable fashion on multiple fronts, check out united by blue for your swim wear needs!
bit.ly/3HgrcXt

Next we have another product for the babies - a white swan toy car from Nature Baby. Made with solid wood and water-based eco-friendly paint, this is a perfect first toy for the little ones. Nature Baby also offers organic, chemical free cotton and merino wool clothing. This is another sustainable baby clothing and toy store!
bit.ly/3P7PbtO

Another swim and lounge wear brand is Vitamin A who, over a 10 year period, analyzed their supply chain in order to procure suppliers for creating their own swimwear fabric made from recycled materials. This process saves water during production, diverts waste from landfills and the ocean, reduces emissions and saves many kWh of energy - all stats which are provided on their website. Vitamin A also donates a portion of their sales to multiple organizations protecting our oceans. Another great swim and lounge wear brand!
bit.ly/3FaGmuP"
56,"The Ohlanga Estuary cleanup is making excellent progress. 

'As we round up our 3rd week in the estuary, it really is amazing to see how well the team has done. They have been working really well and can genuinely see that they are proud of what they doing. We have 1 more week on the ground and the guys are combing through tree lines and reed banks trying to get to the tricky spots' - Josh Redman, National Operations Manager, The Litterboom Project. 

This hard working team have removed an incredible 11,240kgs of litter from the Ohlanga Estuary and beach area since the start of the clean up of which 1,620kgs has been sent for recycling. ğŸ™ŒğŸ’ª

If you would like to support the work we do please visit the link in our profile. 

#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #RiverPollution #RiverConservation #Pollution #StopPollution #PlasticPollution #EndPlasticPollution #StopPlasticPollution #Recycle #Litter #CleanUp #GreenFuture #ConsciousLiving #Environment #SaveOurPlanet #PlasticBottle #Plastics #PlasticFreeLiving #PlasticWaste #PlasticOcean"
57,"Go check out our website! For every bathrobe sold, 1lb of plastic is removed from our beautiful Ocean! ğŸŒŠğŸ’šğŸŒ¿ğŸ‘¶
â€¢
â€¢
Follow @junglebizz for more 
Follow @junglebizz for more 
Follow @junglebizz for more
â€¢
â€¢
#nyfÃ¸dt #plasticfree #organiccotton #babytÃ¸j #babytÃ¸jtilsalg #babytÃ¸jsÃ¦lges #junglebizz #babytÃ¸jsalg #babytÃ¸jswebshop #oceancleanup #teamseas #teamtrees #babybathrobe #babymorgenkÃ¥be"
58,"Did you know? The upward-pointing trunks of elephant statues are regarded to be particularly lucky and bring wealth to the home. ğŸ’š

Here, an Artisan is hand-crafting a large elephant, made entirely of flip flops upcycled from our oceans & waterways.

ğŸ©´ğŸ˜

Each Large Elephant collects 949 lbs of trash - together, we can make a lasting difference!

https://oceansole.com/products/elephant-flip-flop-sculpture

---

.
.
.
.
.
.

---

#ecochristmasguide 
#reducereuserecycle #saveouroceans #oceansole
#oceansole #flipflops #flipflop #oceancleanup #trashart #trashartist #kenyanart #kenyanartist #africanart #africanartist #africanartists #sculpture #sculptureart #madeinkenya #madeinkenyağŸ‡°ğŸ‡ª #madeinkenyabykenyans #kenyağŸ‡°ğŸ‡ª #oceantrash #karenvillage #madeinafrica #oceanart #oceanlover #oceanlife"
59,"(English below)

Siapa tahu mana kita boleh dapatkan guni Gula Prai 50 kg ini (ataupun guni yang hampir sama seperti ini)? 

Kami nak guna semula guni untuk sesi pembersihan pantai kami. Kalau siapaÂ² ada info atau ada yang boleh sponsor, dialu-alukan ya. Tolong share post kami, terima kasih ğŸ’› 

Ps: GadisÂ² (Nita dan ViÃ©ra) tak betulÂ² minum dari botolÂ² tu ye. Kami terjumpa botolÂ² ni di pantai berhadapan dengan Taman Gelora. Guni pun terdampar di sana. Jadi terus kutip botolÂ² lah hari tu. 

*** 

Who knows where we can get these used Gula Prai 50kg gunny bags (or any similar bags)? 

We want to reuse these bags for our beach clean ups. We welcome anyone with information and those wishing to sponsor these bags. Please help share this post, thank you ğŸ’› 

Ps: The girls (Nita and ViÃ©ra) are not actually drinking from those bottles. We happen to collect these bottles at the beach fronting Taman Gelora. Even the Gula Prai gunny bag was found on the beach. 

#reusedbags #reusablebags #gunnysack #gunnybag #guni #beachcleanup #oceancleanup #seaside #volunteers #tamangelora  #kuantan #pahang #eastcoast #pantaitimur #pantaigelora #pantaitembeling #pantaiteluksisek"
60,"ğŸ¤¯ğŸ‘ğŸ¼
.
Much of the plastic waste that enters our oceans is picked up by circulating ocean currents known as gyres. Waste from the US anJ  gets sucked into the Great Garbage Patch â€“ an area of the Pacific between the US and Japan. The 'Patch' covers some 1.6 million square kilometres and contains around 100 million kilograms of plastic.

@TheOceanCleanup is a non-profit organisation that wants to remove 90% of the Patchâ€™s floating plastic by 2040. Its net-based System 002 has already removed more than 100,000kg of plastic from the patch. Now, the organisation is working on System 003 and based on a recently-released concept video, it looks pretty awesome.

System 003 will use drones to identify waste hotspots and direct the three-ship net system to the location. Two ships will tow a massive 1,600-meter wide and four-meter deep screening system between them. The screening system funnels plastic waste into a central net. When full, the team empty the net onto a third boat, where the plastic is sorted and stored in onboard shipping containers for subsequent recycling. The slow towing speed of the system (0.75m/s) should allow most marine life to avoid being caught up (though I do wonder what will happen to jellyfish).

The Ocean Cleanup plans to create a fleet of ten System 003 machines in the coming months. You can follow their progress on Twitter and Instagram.

ğŸ”„: @utuearth

#plasticpollutes #plasticsucks #refuseplastic #plasticpollution #plasticfree #plasticfreeliving #uselessplastic #gogreen #wastefreeliving #ecofriendly #ecoconcious #zerowasteliving #zerowaste #climatecrisis #zerowastelife #greenliving #sustainable #sustainableliving #sustainability #climatechange #reducewaste #breakfreefromplastic #beatplasticpollution #4ocean #oceancleanup #oceanplastic #oceantrash #UtuClimateAction"
